                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6972,                 2.3939,                 2.7591,                 0.4814,                0.27987,                0.32287,                0.11444,                 2.6054,                 1.9527,                  2.587,                      0,                      0,                      0
                      2,                 2.8883,                 2.4301,                  2.788,                0.49675,                0.29654,                0.33269,                0.11706,                 2.5983,                 1.9369,                 2.5834,             1.6637e-05,             1.6637e-05,             1.6637e-05
                      3,                 3.0523,                 2.5995,                 2.9042,                 0.4674,                0.36981,                0.33916,                0.11672,                  2.582,                  1.908,                 2.5733,             3.3208e-05,             3.3208e-05,             3.3208e-05
                      4,                 2.9587,                 2.5157,                 2.8297,                 0.4206,                0.38868,                0.34135,                0.12116,                 2.5612,                 1.8846,                 2.5648,             4.9713e-05,             4.9713e-05,             4.9713e-05
                      5,                 2.7177,                 2.4089,                 2.7651,                0.47842,                0.39811,                0.35232,                0.12173,                 2.5449,                 1.8648,                 2.5548,             6.6152e-05,             6.6152e-05,             6.6152e-05
                      6,                 2.5956,                  2.262,                 2.6549,                0.47331,                0.40755,                0.36378,                0.12696,                 2.5503,                 1.8353,                 2.5528,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      7,                  2.767,                 2.3876,                 2.7047,                0.48846,                0.43585,                0.37441,                0.12672,                 2.5517,                 1.8113,                  2.551,             9.8832e-05,             9.8832e-05,             9.8832e-05
                      8,                 2.8984,                 2.4764,                 2.7481,                0.39211,                0.49245,                0.36959,                0.12808,                 2.5455,                 1.7953,                 2.5595,             0.00011507,             0.00011507,             0.00011507
                      9,                 2.6552,                 2.2515,                 2.7238,                0.41996,                0.45912,                0.36457,                0.12541,                 2.5317,                 1.7857,                 2.5658,             0.00013125,             0.00013125,             0.00013125
                     10,                 2.5997,                 2.2509,                 2.6757,                0.37332,                0.47799,                0.39154,                   0.13,                 2.5251,                 1.7703,                 2.5666,             0.00014736,             0.00014736,             0.00014736
                     11,                 2.7486,                 2.3278,                 2.7453,                0.41302,                0.47799,                0.39964,                0.13341,                 2.5102,                 1.7608,                 2.5662,              0.0001634,              0.0001634,              0.0001634
                     12,                 2.6263,                 2.1416,                 2.6525,                0.42182,                0.51132,                0.41024,                0.13626,                 2.4937,                 1.7433,                 2.5604,             0.00017938,             0.00017938,             0.00017938
                     13,                 2.7107,                 2.0801,                 2.6728,                0.45779,                0.49245,                  0.438,                 0.1461,                 2.4777,                  1.731,                 2.5623,             0.00019529,             0.00019529,             0.00019529
                     14,                 2.4691,                 2.1064,                 2.6874,                0.44729,                0.49655,                0.43834,                0.14924,                 2.4689,                 1.7305,                 2.5604,             0.00021113,             0.00021113,             0.00021113
                     15,                 2.7062,                 2.1089,                 2.6723,                0.40584,                0.44465,                0.43774,                0.14639,                 2.4563,                 1.7306,                 2.5586,             0.00022691,             0.00022691,             0.00022691
                     16,                 2.4008,                 1.8728,                 2.4954,                0.42362,                0.46555,                 0.4348,                0.14345,                 2.4287,                 1.7008,                 2.5403,             0.00024262,             0.00024262,             0.00024262
                     17,                 2.5225,                 1.9332,                 2.5962,                0.39766,                0.45409,                0.43129,                0.14705,                 2.4293,                 1.6779,                  2.536,             0.00025827,             0.00025827,             0.00025827
                     18,                 2.4732,                 1.9956,                  2.521,                0.39766,                0.45409,                0.43129,                0.14705,                 2.4293,                 1.6779,                  2.536,             0.00027385,             0.00027385,             0.00027385
                     19,                 2.4646,                 1.7613,                 2.5716,                0.38927,                0.41132,                0.38101,                0.13547,                 2.4451,                 1.6771,                 2.5255,             0.00028937,             0.00028937,             0.00028937
                     20,                 2.6222,                 1.9849,                 2.6263,                0.38927,                0.41132,                0.38101,                0.13547,                 2.4451,                 1.6771,                 2.5255,             0.00030481,             0.00030481,             0.00030481
                     21,                 2.3943,                 1.8641,                 2.5606,                0.38103,                0.43522,                0.37541,                0.13692,                 2.4406,                 1.6824,                 2.5171,              0.0003202,              0.0003202,              0.0003202
                     22,                 2.5955,                 1.8934,                 2.5702,                0.38103,                0.43522,                0.37541,                0.13692,                 2.4406,                 1.6824,                 2.5171,             0.00033551,             0.00033551,             0.00033551
                     23,                 2.5704,                 1.9401,                 2.6121,                0.44982,                0.41909,                0.40736,                0.14866,                 2.4335,                 1.6777,                 2.5098,             0.00035076,             0.00035076,             0.00035076
                     24,                 2.5092,                 1.8722,                 2.6086,                0.44982,                0.41909,                0.40736,                0.14866,                 2.4335,                 1.6777,                 2.5098,             0.00036595,             0.00036595,             0.00036595
                     25,                 2.2681,                 1.7378,                 2.5208,                 0.4908,                0.48742,                0.46718,                0.17506,                 2.3951,                 1.6591,                 2.4907,             0.00038107,             0.00038107,             0.00038107
                     26,                 2.5631,                 1.8297,                 2.5713,                 0.4908,                0.48742,                0.46718,                0.17506,                 2.3951,                 1.6591,                 2.4907,             0.00039612,             0.00039612,             0.00039612
                     27,                 2.3341,                 1.7819,                  2.515,                0.49429,                 0.5191,                0.48389,                0.18002,                 2.3783,                  1.693,                 2.4932,             0.00041111,             0.00041111,             0.00041111
                     28,                 2.5957,                 1.7671,                 2.5646,                0.49429,                 0.5191,                0.48389,                0.18002,                 2.3783,                  1.693,                 2.4932,             0.00042603,             0.00042603,             0.00042603
                     29,                 2.3103,                 1.6937,                 2.4375,                0.48726,                0.49044,                0.46779,                0.17296,                 2.3726,                 1.7347,                 2.4985,             0.00044088,             0.00044088,             0.00044088
                     30,                 2.3872,                 1.6505,                 2.4525,                0.48726,                0.49044,                0.46779,                0.17296,                 2.3726,                 1.7347,                 2.4985,             0.00045567,             0.00045567,             0.00045567
                     31,                 2.3983,                 1.6606,                 2.4692,                0.47229,                0.46855,                0.46984,                0.17452,                 2.3618,                 1.7893,                 2.5165,             0.00047039,             0.00047039,             0.00047039
                     32,                 2.4995,                 1.7885,                    2.6,                0.47229,                0.46855,                0.46984,                0.17452,                 2.3618,                 1.7893,                 2.5165,             0.00048505,             0.00048505,             0.00048505
                     33,                 2.2054,                 1.6028,                  2.425,                0.48885,                0.45472,                0.46421,                0.18385,                  2.342,                 1.8107,                 2.5283,             0.00049964,             0.00049964,             0.00049964
                     34,                 2.2652,                 1.6065,                 2.4411,                0.48885,                0.45472,                0.46421,                0.18385,                  2.342,                 1.8107,                 2.5283,             0.00051417,             0.00051417,             0.00051417
                     35,                 2.5274,                 1.7133,                 2.5234,                0.44285,                0.56426,                0.47361,                0.18759,                 2.3343,                 1.8591,                 2.5498,             0.00052862,             0.00052862,             0.00052862
                     36,                 2.3714,                 1.5951,                 2.4342,                0.44285,                0.56426,                0.47361,                0.18759,                 2.3343,                 1.8591,                 2.5498,             0.00054302,             0.00054302,             0.00054302
                     37,                 2.2443,                  1.642,                 2.4884,                0.40013,                0.53826,                0.48245,                0.19544,                 2.2963,                 1.8609,                  2.521,             0.00055734,             0.00055734,             0.00055734
                     38,                 2.1786,                 1.5575,                 2.3815,                0.40013,                0.53826,                0.48245,                0.19544,                 2.2963,                 1.8609,                  2.521,              0.0005716,              0.0005716,              0.0005716
                     39,                  2.221,                 1.6277,                 2.4967,                 0.4594,                0.50755,                0.49616,                0.21211,                 2.2827,                 1.8215,                 2.4976,              0.0005858,              0.0005858,              0.0005858
                     40,                 2.2415,                 1.5972,                 2.4766,                 0.4594,                0.50755,                0.49616,                0.21211,                 2.2827,                 1.8215,                 2.4976,             0.00059993,             0.00059993,             0.00059993
                     41,                 2.3276,                 1.6676,                 2.5165,                0.49642,                0.50252,                0.46266,                0.20102,                 2.3249,                 1.8602,                 2.5002,             0.00061399,             0.00061399,             0.00061399
                     42,                 2.3335,                 1.6257,                 2.5182,                0.49642,                0.50252,                0.46266,                0.20102,                 2.3249,                 1.8602,                 2.5002,             0.00062799,             0.00062799,             0.00062799
                     43,                 2.5376,                 1.6741,                 2.4535,                0.53096,                0.60252,                0.51143,                0.19568,                 2.2914,                 1.8814,                 2.4879,             0.00064192,             0.00064192,             0.00064192
                     44,                 2.1584,                 1.5373,                 2.4463,                0.53096,                0.60252,                0.51143,                0.19568,                 2.2914,                 1.8814,                 2.4879,             0.00065578,             0.00065578,             0.00065578
                     45,                 2.4005,                 1.6688,                  2.445,                0.48723,                0.59308,                0.48765,                0.18514,                 2.2377,                 1.8722,                 2.4588,             0.00066958,             0.00066958,             0.00066958
                     46,                 2.1503,                 1.5519,                 2.4128,                0.48723,                0.59308,                0.48765,                0.18514,                 2.2377,                 1.8722,                 2.4588,             0.00068331,             0.00068331,             0.00068331
                     47,                  2.205,                 1.5876,                 2.3891,                0.42283,                0.58991,                0.45658,                0.17524,                 2.2883,                 1.8796,                 2.4713,             0.00069698,             0.00069698,             0.00069698
                     48,                 2.1001,                 1.5395,                 2.2962,                0.42283,                0.58991,                0.45658,                0.17524,                 2.2883,                 1.8796,                 2.4713,             0.00071058,             0.00071058,             0.00071058
                     49,                 2.1888,                 1.5172,                 2.3796,                0.58083,                0.47887,                0.52321,                0.19971,                  2.262,                 1.8665,                 2.4381,             0.00072411,             0.00072411,             0.00072411
                     50,                 2.2989,                 1.4948,                 2.3799,                0.58083,                0.47887,                0.52321,                0.19971,                  2.262,                 1.8665,                 2.4381,             0.00073758,             0.00073758,             0.00073758
                     51,                 2.5242,                 1.5246,                 2.3383,                 0.5309,                0.58639,                0.54822,                0.20396,                 2.2849,                 1.8453,                 2.4137,             0.00075098,             0.00075098,             0.00075098
                     52,                  2.233,                 1.5183,                 2.3464,                 0.5309,                0.58639,                0.54822,                0.20396,                 2.2849,                 1.8453,                 2.4137,             0.00076432,             0.00076432,             0.00076432
                     53,                 2.3078,                 1.5544,                 2.3626,                 0.5309,                0.58639,                0.54822,                0.20396,                 2.2849,                 1.8453,                 2.4137,             0.00077759,             0.00077759,             0.00077759
                     54,                 2.2086,                  1.662,                 2.3958,                0.54259,                0.65912,                0.55738,                 0.2312,                 2.1793,                 1.8075,                  2.358,             0.00079079,             0.00079079,             0.00079079
                     55,                 2.0871,                 1.3433,                 2.2203,                0.54259,                0.65912,                0.55738,                 0.2312,                 2.1793,                 1.8075,                  2.358,             0.00080393,             0.00080393,             0.00080393
                     56,                 2.1296,                 1.5364,                  2.349,                0.54259,                0.65912,                0.55738,                 0.2312,                 2.1793,                 1.8075,                  2.358,             0.00081701,             0.00081701,             0.00081701
